date,weekday,winning_numbers,powerball,powerplay,jackpot
7/28/2021,Wed,25-30-53-59-60,5,3,186000000
7/31/2021,Sat,1-21-22-34-47,4,2,199000000
8/4/2021,Wed,5-21-32-36-58,14,2,211000000
8/7/2021,Sat,7-24-36-54-60,23,2,226000000
8/11/2021,Wed,12-18-20-29-30,16,3,241000000
8/14/2021,Sat,6-21-49-65-67,18,2,258000000
8/18/2021,Wed,35-36-51-55-61,26,2,274000000
8/21/2021,Sat,16-28-36-39-59,4,2,290000000
8/23/2021,Mon,17-36-47-60-61,15,3,293000000
8/25/2021,Wed,27-39-54-56-59,24,3,304000000
8/28/2021,Sat,12-22-26-46-59,26,2,322000000
8/30/2021,Mon,3-15-45-51-61,8,2,332000000
9/1/2021,Wed,10-20-29-48-51,17,2,345000000
9/4/2021,Sat,32-35-40-52-54,1,5,367000000
9/6/2021,Mon,11-20-22-33-54,24,2,375000000
9/8/2021,Wed,9-22-41-47-61,21,2,388000000
9/11/2021,Sat,20-31-38-40-49,21,2,409000000
9/13/2021,Mon,37-40-50-61-63,21,3,416000000
9/15/2021,Wed,1-4-18-46-62,25,3,432000000
9/18/2021,Sat,5-36-39-45-57,11,2,457000000
9/20/2021,Mon,37-51-54-58-60,19,2,472000000
9/22/2021,Wed,20-40-47-55-63,5,3,490000000
9/25/2021,Sat,22-23-37-62-63,19,3,523000000
9/27/2021,Mon,21-22-39-44-60,12,2,545000000
9/29/2021,Wed,2-7-11-17-32,11,3,570000000
10/2/2021,Sat,28-38-42-47-52,1,2,635000000
10/4/2021,Mon,12-22-54-66-69,15,2,685000000
10/6/2021,Wed,1-17-52-58-64,1,10,20000000
10/9/2021,Sat,12-17-30-45-62,5,2,31000000
10/11/2021,Mon,11-20-33-39-65,24,3,38000000
10/13/2021,Wed,23-29-47-59-60,15,2,50000000
10/16/2021,Sat,30-31-41-42-48,3,3,60000000
10/18/2021,Mon,30-32-48-53-63,12,2,65000000
10/20/2021,Wed,7-29-36-41-43,5,0,73000000
10/23/2021,Sat,10-30-51-57-63,20,2,86000000
10/25/2021,Mon,10-27-29-44-58,24,2,93000000
10/27/2021,Wed,3-6-26-35-51,17,4,102000000
10/30/2021,Sat,5-23-28-43-56,19,2,116000000
11/1/2021,Mon,9-25-34-44-45,8,3,123000000
11/3/2021,Wed,1-2-24-50-57,26,2,132000000
11/6/2021,Sat,8-30-48-57-64,9,2,146000000
11/8/2021,Mon,21-46-47-57-62,8,3,151000000
11/10/2021,Wed,19-25-43-46-48,14,2,160000000
11/13/2021,Sat,8-15-26-35-45,9,3,173000000
11/15/2021,Mon,5-31-34-51-53,23,2,180000000
11/17/2021,Wed,3-16-48-52-60,1,3,190000000
11/20/2021,Sat,40-43-48-59-69,19,3,205000000
11/22/2021,Mon,7-20-29-38-67,22,2,213000000
11/24/2021,Wed,10-16-32-63-65,17,2,224000000
11/27/2021,Sat,8-32-55-64-66,10,2,243000000
11/29/2021,Mon,18-26-28-38-47,17,2,253000000
12/1/2021,Wed,12-15-38-57-63,24,2,264000000
12/4/2021,Sat,10-40-45-56-67,2,2,278000000
12/6/2021,Mon,3-21-38-50-59,6,3,280000000
12/8/2021,Wed,3-7-33-50-69,24,2,291000000
12/11/2021,Sat,3-25-44-53-64,10,2,307000000
12/13/2021,Mon,10-30-37-53-59,4,2,320000000
12/15/2021,Wed,19-20-40-42-59,15,3,333000000
12/18/2021,Sat,2-6-24-51-61,1,2,353000000
12/20/2021,Mon,2-13-23-34-66,2,4,363000000
12/22/2021,Wed,7-16-19-48-68,15,2,378000000
12/25/2021,Sat,27-29-45-55-58,2,3,400000000
12/27/2021,Mon,36-38-45-62-64,19,2,416000000
12/29/2021,Wed,2-6-9-33-39,11,2,441000000
